matchID,season,battingTeam,bowlingTeam,innings,firstBatter,secondBatter,partnership,totalBallsFaced,fours,sixes,wicket,firstBatterRuns,firstBatterBallsFaced,firstBatterFours,firstBatterSixes,secondBatterRuns,secondBatterBallsFaced,secondBatterFours,secondBatterSixes
6480bb9932735ca83d38f6e7,2022,,,1,AM Rahane,SS Iyer,7,3,1,0,1,0,1,0,0,7,2,1,0
6480bb9359a2cade3b5213d3,2017,,,2,JC Buttler,PA Patel,7,11,0,0,1,2,5,0,0,3,6,0,0
6480bb99d2bd76016d47896d,2023,,,2,DA Warner,SN Khan,7,15,1,0,1,2,6,0,0,4,9,1,0
6480bb9ea49fe0f895bf242a,2012,,,2,AM Rahane,R Dravid,7,9,1,0,1,4,4,1,0,3,5,0,0
6480bb974123cbc9756ceefa,2021,,,2,AK Markram,SN Khan,7,3,0,1,1,7,2,0,1,0,1,0,0
6480bba19e29de4f208211ac,2014,,,1,CJ Anderson,RG Sharma,7,5,0,1,1,6,4,0,1,1,1,0,0
6480bb93182304739a535742,2017,,,1,A Zampa,AB Dinda,7,8,1,0,1,0,3,0,0,6,5,1,0
6480bba19e29de4f208211ac,2014,,,2,MA Starc,RR Rossouw,7,7,1,0,1,5,4,1,0,2,3,0,0
6480bba1105add9a994c58a7,2014,,,1,JP Duminy,KM Jadhav,7,13,0,0,1,4,5,0,0,3,8,0,0
6480bba34d78f594b07da1bc,2016,,,1,AB de Villiers,V Kohli,7,4,0,1,1,0,2,0,0,7,2,0,1
6480bb9c12f907c7b81b11a9,2009,,,1,DJ Hussey,LR Shukla,7,12,1,0,1,1,4,0,0,6,8,1,0
6480bba0dcd1149b9b0b501f,2013,,,2,RN ten Doeschate,YK Pathan,7,10,0,0,1,3,4,0,0,3,6,0,0
6480bb97ce8cbd211049f957,2021,,,1,KA Pollard,RG Sharma,7,8,0,0,1,2,4,0,0,1,4,0,0
6480bb9a7d91d721555835e5,2007/08,,,2,BJ Hodge,SC Ganguly,7,7,1,0,1,1,3,0,0,5,4,1,0
6480bb9f36da1a646c80be45,2013,,,2,MC Juneja,S Nadeem,7,7,1,0,1,5,4,1,0,2,3,0,0
6480bba26ca6ec72ba377236,2016,,,2,AB de Villiers,SR Watson,7,8,1,0,1,5,5,1,0,2,3,0,0
6480bba2f39653e2f61baca2,2015,,,1,HH Pandya,PA Patel,7,10,1,0,1,5,8,1,0,0,2,0,0
