matchID,season,battingTeam,bowlingTeam,over,ballNo,innings,bowler,playerOut,outType,fieldersInvolved
648026d3debe9c577ea18fe2,2017,Gujarat Lions,Sunrisers Hyderabad,6,2,2,Rashid Khan,AJ Finch,lbw,
648026d3debe9c577ea18fe2,2017,Gujarat Lions,Sunrisers Hyderabad,8,6,2,Rashid Khan,SK Raina,lbw,
648026d3debe9c577ea18fe2,2017,Gujarat Lions,Sunrisers Hyderabad,16,4,2,B Kumar,DR Smith,caught,"[""V Shankar""]"
648026d3debe9c577ea18fe2,2017,Gujarat Lions,Sunrisers Hyderabad,17,2,2,A Nehra,KD Karthik,caught,"[""NV Ojha""]"
648026d3debe9c577ea18fe2,2017,Gujarat Lions,Sunrisers Hyderabad,17,4,2,A Nehra,DS Kulkarni,run out,"[""Rashid Khan""]"
648026d3debe9c577ea18fe2,2017,Sunrisers Hyderabad,Gujarat Lions,3,1,1,P Kumar,S Dhawan,caught,"[""BB McCullum""]"
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,4,2,2,KH Pandya,G Gambhir,caught,"[""MJ McClenaghan""]"
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,4,5,2,KH Pandya,RV Uthappa,caught,"[""HH Pandya""]"
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,7,3,2,JJ Bumrah,CA Lynn,lbw,
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,11,4,2,KH Pandya,YK Pathan,caught,"[""HH Pandya""]"
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,16,1,2,SL Malinga,SA Yadav,caught,"[""KA Pollard""]"
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,18,1,2,SL Malinga,CR Woakes,caught,"[""KA Pollard""]"
648026d38e281c38861d9351,2017,Kolkata Knight Riders,Mumbai Indians,19,8,2,MJ McClenaghan,SP Narine,lbw,
648026d38e281c38861d9351,2017,Mumbai Indians,Kolkata Knight Riders,7,3,1,Kuldeep Yadav,PA Patel,lbw,
648026d38e281c38861d9351,2017,Mumbai Indians,Kolkata Knight Riders,8,3,1,AS Rajpoot,JC Buttler,lbw,
648026d38e281c38861d9351,2017,Mumbai Indians,Kolkata Knight Riders,9,5,1,SP Narine,RG Sharma,lbw,
648026d38e281c38861d9351,2017,Mumbai Indians,Kolkata Knight Riders,12,1,1,AS Rajpoot,KH Pandya,caught,"[""RV Uthappa""]"
648026d38e281c38861d9351,2017,Mumbai Indians,Kolkata Knight Riders,16,1,1,CR Woakes,KA Pollard,caught,"[""R Dhawan""]"
648026d38e281c38861d9351,2017,Mumbai Indians,Kolkata Knight Riders,18,4,1,AS Rajpoot,N Rana,caught,"[""SP Narine""]"
648026d312c5e14a5489d107,2017,Royal Challengers Bangalore,Kings XI Punjab,0,6,2,AR Patel,SR Watson,bowled,
648026d312c5e14a5489d107,2017,Royal Challengers Bangalore,Kings XI Punjab,3,3,2,Sandeep Sharma,Vishnu Vinod,caught,"[""GJ Maxwell""]"
648026d312c5e14a5489d107,2017,Royal Challengers Bangalore,Kings XI Punjab,4,6,2,VR Aaron,KM Jadhav,lbw,
648026d312c5e14a5489d107,2017,Royal Challengers Bangalore,Kings XI Punjab,13,1,2,VR Aaron,Mandeep Singh,caught,"[""WP Saha""]"
648026d312c5e14a5489d107,2017,Kings XI Punjab,Royal Challengers Bangalore,5,6,1,TS Mills,M Vohra,lbw,
648026d312c5e14a5489d107,2017,Kings XI Punjab,Royal Challengers Bangalore,8,1,1,YS Chahal,AR Patel,bowled,
648026d399293ff15905c238,2017,Delhi Daredevils,Rising Pune Supergiant,1,1,2,DL Chahar,AP Tare,caught,"[""MS Dhoni""]"
648026d399293ff15905c238,2017,Delhi Daredevils,Rising Pune Supergiant,8,1,2,Imran Tahir,SW Billings,bowled,
648026d399293ff15905c238,2017,Delhi Daredevils,Rising Pune Supergiant,15,2,2,BA Stokes,RR Pant,run out,"[""MA Agarwal""]"
648026d399293ff15905c238,2017,Delhi Daredevils,Rising Pune Supergiant,18,2,2,A Zampa,SV Samson,bowled,
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,2,6,1,Z Khan,AM Rahane,caught,"[""SV Samson""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,4,5,1,Z Khan,MA Agarwal,caught,"[""CH Morris""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,5,6,1,CH Morris,RA Tripathi,caught,"[""S Nadeem""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,6,4,1,S Nadeem,F du Plessis,caught,"[""RR Pant""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,7,5,1,PJ Cummins,BA Stokes,caught,"[""RR Pant""]"
648026d399293ff15905c238,2017,Rising Pune Supergiant,Delhi Daredevils,11,6,1,A Mishra,MS Dhoni,caught,"[""KK Nair""]"
