matchID,matchNumber,season,matchStartDate,city,tossWon,tossDecision,isSuperOver,team1,team2,teamWon,wonByWickets,wonByRuns,playerOfMatch,team1Score,team1Wickets,team1Fours,team1Sixes,team1Extras,team2Score,team2Wickets,team2Fours,team2Sixes,team2Extras
648026dd5605712b1c25aaca,53,2011,2011-05-10,Hyderabad,Deccan Chargers,bat,0,Deccan Chargers,Pune Warriors,Pune Warriors,6,,MR Marsh,136,8,11,2,1,137,4,17,5,3
648026dd443c9ebc8a92f522,54,2011,2011-05-10,Chandigarh,Mumbai Indians,field,0,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,,76,BA Bhatt,163,8,15,3,22,87,10,10,2,5
648026dd46c41e1a0a794b97,55,2011,2011-05-11,Jaipur,Royal Challengers Bangalore,field,0,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9,,S Aravind,146,6,12,3,11,151,1,17,5,4
648026dd4d88d322a95c5a7d,56,2011,2011-05-12,Chennai,Chennai Super Kings,bat,0,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,,18,MS Dhoni,176,4,15,8,4,158,6,11,6,14
648026dd63b02b4339681c9e,57,2011,2011-05-13,Indore,Kings XI Punjab,field,0,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,6,,KD Karthik,178,7,12,7,23,181,4,17,10,8
648026dd7edd7448b403ec4c,58,2011,2011-05-14,Bangalore,Royal Challengers Bangalore,field,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,4,,CH Gayle,89,4,7,3,7,105,6,13,2,6
648026dd9676a26bb3f7ac2d,59,2011,2011-05-14,Mumbai,Deccan Chargers,bat,0,Mumbai Indians,Deccan Chargers,Deccan Chargers,,10,A Mishra,135,6,9,4,7,125,8,8,4,18
648026dd6866817372fb9b33,60,2011,2011-05-15,Dharamsala,Delhi Capitals,field,0,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,,29,PP Chawla,170,6,19,6,9,141,8,13,6,12
648026ddefaf734bafcc4ed5,61,2011,2011-05-15,Indore,Kochi Tuskers Kerala,field,0,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,8,,BJ Hodge,97,10,9,4,3,98,2,9,7,9
648026dd06235b6374e473cb,62,2011,2011-05-16,Mumbai,Deccan Chargers,field,0,Pune Warriors,Deccan Chargers,Deccan Chargers,6,,A Mishra,136,9,10,7,3,138,4,10,4,9
648026dd9024f1d3f58065f3,63,2011,2011-05-17,Dharamsala,Kings XI Punjab,bat,0,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,,111,AC Gilchrist,232,2,17,15,27,121,10,12,4,9
648026de1e1ff55de46de1db,64,2011,2011-05-18,Chennai,Chennai Super Kings,bat,0,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,,11,WP Saha,152,5,10,6,4,141,5,10,3,9
648026de13dfbc5c06e51bac,65,2011,2011-05-19,Mumbai,Kolkata Knight Riders,field,0,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,7,,YK Pathan,118,7,10,1,12,119,3,12,2,5
648026debf885d034d0981b1,66,2011,2011-05-20,Mumbai,Mumbai Indians,bat,0,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,10,,SR Watson,133,5,13,1,5,134,0,15,6,2
648026ded403b8795f2dd604,67,2011,2011-05-21,Dharamsala,Kings XI Punjab,field,0,Kings XI Punjab,Deccan Chargers,Deccan Chargers,,82,S Dhawan,198,2,19,4,16,116,10,12,4,4
648026deb5826cf6c0e1cecc,68,2011,2011-05-21,Delhi,Delhi Capitals,bat,0,Delhi Capitals,Pune Warriors,,,,,56,3,3,2,5,0,0,0,0,0
648026dee077fb3cf6396901,69,2011,2011-05-22,Bangalore,Royal Challengers Bangalore,field,0,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,8,,CH Gayle,128,8,7,7,10,129,2,10,6,10
648026de517d24fdd5a5b348,70,2011,2011-05-22,Kolkata,Mumbai Indians,field,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,5,,JEC Franklin,175,7,16,7,6,178,5,20,3,16
648026de64f75f0cf25ed5be,Qualifier 1,2011,2011-05-24,Mumbai,Chennai Super Kings,field,0,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,6,,SK Raina,175,4,13,7,14,177,4,14,10,8
648026dee076bb9d9c549639,Elimination Final,2011,2011-05-25,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4,,MM Patel,147,7,15,3,6,148,6,18,3,4
648026def00fac72d28da800,Qualifier 2,2011,2011-05-27,Chennai,Mumbai Indians,field,0,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,,43,CH Gayle,185,4,13,8,14,142,8,13,4,4
648026de057be7288672d32a,Final,2011,2011-05-28,Chennai,Chennai Super Kings,bat,0,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,,58,M Vijay,205,5,7,13,9,147,8,11,4,6
648026de4c1617cf9b20f131,1,2012,2012-04-04,Chennai,Mumbai Indians,field,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,8,,RE Levi,112,10,6,1,12,115,3,9,5,6
648026de0d7c26aae29357ac,2,2012,2012-04-05,Kolkata,Delhi Capitals,field,0,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,8,,IK Pathan,97,9,6,5,7,100,2,8,4,5
