matchID,playerID,player,team
648021859220c311407423ac,3fb19989,MA Starc,Royal Challengers Bangalore
64802178c1ca652c7d8b7220,d027ba9f,KS Williamson,Sunrisers Hyderabad
6480217788d3bc1e3894dc62,0994d0ae,V Shankar,Sunrisers Hyderabad
648021789d90519f5092e6d9,c16d4035,SW Billings,Chennai Super Kings
6480218084fa6a3283107e07,a757b0d8,KA Pollard,Mumbai Indians
64802180c2c7e39c4c9c9ce9,abfeb126,M Kartik,Pune Warriors
6480218241c9fcd19685bc4c,5fa06777,IK Pathan,Delhi Daredevils
64802181fc2945d4bc30443d,66cf56a5,A Mithun,Royal Challengers Bangalore
648021855c44675e1f9c5c29,b8a55852,BB McCullum,Chennai Super Kings
64802177f6574633ccfc2281,fb2d1dda,N Rana,Mumbai Indians
6480217f53bed4f8b2ab6bf3,1dc12ab9,SK Raina,Chennai Super Kings
648021823fad52a27c4de924,7dc35884,Shakib Al Hasan,Kolkata Knight Riders
648021786a6e21ef9e8f3463,73ad96ed,DJ Hooda,Sunrisers Hyderabad
6480217c5c13d165dd7b2994,00ea847a,MA Agarwal,Sunrisers Hyderabad
64802179b13985ad1ac7dd02,a4cc73aa,SV Samson,Rajasthan Royals
64802183f3469c565544a286,fe93fd9d,RA Jadeja,Chennai Super Kings
648021775a9d8bdc25b5112b,dbe50b21,HH Pandya,Mumbai Indians
6480217c492eccbfd275cb66,740742ef,RG Sharma,Mumbai Indians
6480217f508559ec7b0aadee,c3a96caf,Mandeep Singh,Kolkata Knight Riders
6480217fc60fe8216043874b,11df3dc8,MJ Lumb,Rajasthan Royals
64802178f9b7a86eca45f8d3,bdadf7da,JL Denly,Kolkata Knight Riders
6480217b5ecc9d806323dff4,50c6bc2b,LS Livingstone,Punjab Kings
64802178f279f92dc39641be,85ec8e33,SS Iyer,Delhi Daredevils
648021802b1dc1569ebf6d64,6b19d823,A Mishra,Deccan Chargers
64802181d12f7819fce22eaa,f846de6a,MN Samuels,Pune Warriors
6480218314d92545c97eae1c,29e95537,AM Rahane,Rajasthan Royals
648021849b8a794a129baa5c,1647bd37,Karanveer Singh,Kings XI Punjab
6480218278cc4f9ab4480c61,4b57e452,M Vijay,Chennai Super Kings
6480217ae79a61ea9af622e5,39a2dfa8,R Tewatia,Rajasthan Royals
6480217c3c3e68ab114286f7,ce794613,T Natarajan,Sunrisers Hyderabad
6480218597903aba78f8ff36,1c914163,Yuvraj Singh,Sunrisers Hyderabad
64802185cb317bd215903119,89f64c19,LMP Simmons,Mumbai Indians
648021783be6ba49992f408b,c38d3503,Shivam Mavi,Kolkata Knight Riders
6480218157e5da022ae5e2de,0a476045,S Dhawan,Deccan Chargers
64802181299ceb5b6aed79dc,30a45b23,SPD Smith,Pune Warriors
64802179732fadac3dd2a89e,d014d5ac,SE Rutherford,Delhi Capitals
6480217a4a9395762a0ae78e,bb965e9a,PK Garg,Sunrisers Hyderabad
6480217981f1ce0cf8b8ea11,5f547c8b,Rashid Khan,Sunrisers Hyderabad
6480217cdc49e65bd2ec3caa,bb965e9a,PK Garg,Sunrisers Hyderabad
648021783cc06088ffd6eb18,2e81a32d,B Kumar,Sunrisers Hyderabad
